Id,Season,SiteId,Site,Nestbox,CH1903X,CH1903Y,CH1903Altitude,WGS84Latitude,WGS84Longitude,WGS84Altitude,LayingDate,LayingDateErrorMargin,PredictedLayingDate,PredictedLayingDateErrorMargin,MaleRing,FemaleRing,FailureReason,FailureDate,SizeOriginally,SizeAfterCrossFostering,IncompleteEggCount,HatchSizeBiolObserved,HatchSizeBiolSupposed,HatchSizeRaisedObserved,HatchSizeRaisedSupposed,UnhatchedEggs,InfertileEggs,DeadEmbryos,AbandonedEggs,BrokenEggs,Fledglings,AnnClutchBySite,AnnClutchByMale,AnnClutchByFemale,CrossFostered,CrossFosteredPartial,ClutchIdRaised1,ClutchIdRaised2,ClutchIdRaised3,EggsTakenForCrossFostering,CrossFosteringType,SuccessfulClutchNumberByNestbox,SuccessfulClutchNumberBySite,SuccessfulClutchNumberByMaleRing,SuccessfulClutchNumberByFemaleRing,AttemptedClutchNumberByNestbox,AttemptedClutchNumberBySite,AttemptedClutchNumberByMaleRing,AttemptedClutchNumberByFemaleRing,BornEggs,BornAliveEggs,BornDeadEggs,BornDeadEggsUnspecified,BornDeadEggsInfertile,BornDeadEggsEmbryo,BornDeadEggsAbandoned,BornDeadEggsBroken,BornUnobservedEggs,RaisedEggs,RaisedAliveEggs,RaisedDeadEggs,RaisedDeadEggsUnspecified,RaisedDeadEggsInfertile,RaisedDeadEggsEmbryo,RaisedDeadEggsAbandoned,RaisedDeadEggsBroken,RaisedUnobservedEggs,BornBirds,BornNestlingsEstimated,BornNestlingsObserved,BornFledglingsEstimated,BornFledglingsObserved,BornAdultsEstimated,BornAdultsObserved,HatchBirds,HatchNestlingsEstimated,HatchNestlingsObserved,HatchFledglingsEstimated,HatchFledglingsObserved,HatchAdultsEstimated,HatchAdultsObserved,RaisedBirds,RaisedNestlingsEstimated,RaisedNestlingsObserved,RaisedFledglingsEstimated,RaisedFledglingsObserved,RaisedAdultsEstimated,RaisedAdultsObserved
1880,1986,233,Galmiz,233,,,,,,,01/01/1986,,,,,,,,,,,,,5,,,,,,,,,,,0,0,,,,,,1,1,,,1,1,,,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,0,5,0,5,5,5,5,0,5,0,5,5,5,5,0,5,0
1881,1986,300,Onnens (FR),300,,,,,,,01/01/1986,,,,,,,,,,,,,6,,,,,,,,,,,0,0,1881,,,,,1,1,,,1,1,,,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,6,6,6,6,0,6,0,6,6,6,6,0,6,0,6,6,6,6,0,6,0
1882,1986,43,Dompierre Monney Medart,43,,,,,,,01/01/1986,,,,,857585,,,,,,,,5,,,,,,,,,,,0,0,1882,,,,,1,1,,1,1,1,,1,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,0,5,0,5,5,5,5,0,5,0,5,5,5,5,0,5,0
1883,1986,75,Missy Teddy,75,,,,,,,01/01/1986,,,,,,,,,,,,,3,,,,,,,,,,,0,0,1883,,,,,1,1,,,1,1,,,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,2,2,0,2,0,2,2,2,2,0,2,0,2,2,2,2,0,2,0
1884,1986,28,Corcelles GDLV,28C,,,,,,,01/01/1986,,,,,857593,,,,,,,,7,,,,,,,,,,,0,0,1884,,,,,1,1,,1,1,1,,1,7,7,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,7,7,7,7,7,0,7,0,7,7,7,7,0,7,0,7,7,7,7,0,7,0
1885,1987,105,Sauge,105A,,,,,,,01/01/1987,,,,,,,,,,,,,1,,,,,,,,,,,0,0,1885,,,,,1,1,,,1,1,,,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0
1886,1987,9,Bellechasse,9A,,,,,,,01/01/1987,,,,,858839,,,,,,,,6,,,,,,,,,,,0,0,1886,,,,,1,1,,1,1,1,,1,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,6,6,6,6,0,6,0,6,6,6,6,0,6,0,6,6,6,6,0,6,0
1887,1987,19,Chêne-Paquier,19,,,,,,,01/01/1987,,,,,,,,,,,,,4,,,,,,,,,,,0,0,1887,,,,,1,1,,,1,1,,,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,4,0,4,0,4,4,4,4,0,4,0,4,4,4,4,0,4,0
1888,1987,75,Missy Teddy,75,,,,,,,01/01/1987,,,,,,,,,,,,,4,,,,,,,,,,,0,0,1888,,,,,1,1,,,1,1,,,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,4,1,4,1,4,4,4,4,1,4,1,4,4,4,4,1,4,1
1889,1987,30,Corcelles Nord,30,,,,,,,01/01/1987,,,,,,,,,,,,,5,,,,,,,,1,,,0,0,1889,,,,,1,1,,,1,1,,,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,1,5,1,5,5,5,5,1,5,1,5,5,5,5,1,5,1
1890,1987,90,Payerne BF,90,,,,,,,01/01/1987,,,,,,,,,,,,,5,,,,,,,,,,,0,0,1890,,,,,1,1,,,1,1,,,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,0,5,0,5,5,5,5,0,5,0,5,5,5,5,0,5,0
1892,1987,52,Frasses,52B,,,,,,,01/01/1987,,,,,,,,,,,,,5,,,,,,,,,,,0,0,1892,,,,,1,1,,,1,1,,,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,0,5,0,5,5,5,5,0,5,0,5,5,5,5,0,5,0
1893,1987,75,Missy Teddy,75,,,,,,,01/01/1987,,,,,,,,,,,,,6,,,,,,,,,,,0,0,1893,,,,,2,2,,,2,2,,,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,6,6,6,6,0,6,0,6,6,6,6,0,6,0,6,6,6,6,0,6,0
1894,1987,300,Onnens (FR),300,,,,,,,01/01/1987,,,,,,,,,,,,,6,,,,,,,,,,,0,0,1894,,,,,1,1,,,1,1,,,6,6,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,6,6,6,6,6,0,6,0,6,6,6,6,0,6,0,6,6,6,6,0,6,0
1895,1987,43,Dompierre Monney Medart,43,,,,,,,01/01/1987,,,,,,,,,,,,,5,,,,,,,,,,,0,0,1895,,,,,1,1,,,1,1,,,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,0,5,0,5,5,5,5,0,5,0,5,5,5,5,0,5,0
1896,1987,30,Corcelles Nord,30,,,,,,,01/01/1987,,,,,858968,,,,,,,,5,,,,,,,,2,,,0,0,1896,,,,,2,2,,1,2,2,,1,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,4,0,4,0,4,4,4,4,0,4,0,4,4,4,4,0,4,0
1897,1987,28,Corcelles GDLV,28C,,,,,,,01/07/1987,,,,,,Oldest chick was 1-30 days old,30/06/1987,,,,,,,,,,,,,0,,,,,0,1897,,,,,,,,,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,1988,13,Bussy,13A,,,,,,,01/04/1988,,,,,,,,,,,,,,,,,,,,,1,,,0,,-100,,,,,1,1,,,1,1,,,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,0,5,0,5,5,5,5,0,5,0,5,5,5,5,0,5,0
-99,1988,26,Corcelles Dresco,26,,,,,,,01/01/1988,,,,,,,,,,,,,,,,,,,,,1,,,0,,-99,,,,,1,1,,,1,1,,,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,1,5,1,5,5,5,5,1,5,1,5,5,5,5,1,5,1
-98,1988,28,Corcelles GDLV,28C,,,,,,,31/03/1988,,,,,,,,,,,,,,,,,,,,,1,,,0,,-98,,,,,1,1,,,1,1,,,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,1,5,1,5,5,5,5,1,5,1,5,5,5,5,1,5,1
-97,1988,30,Corcelles Nord,30,,,,,,,01/01/1988,,,,,,,,,,,,,,,,,,,,,1,,,0,,-97,,,,,1,1,,,1,1,,,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,1,5,1,5,5,5,5,1,5,1,5,5,5,5,1,5,1
-96,1988,48,Fetigny,48,,,,,,,01/01/1988,,,,,858840,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-95,1988,76,Missy Village,76C,,,,,,,01/04/1988,,,,,,,,,,,,,,,,,,,,,1,,,0,,-95,,,,,1,1,,,1,1,,,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,4,0,4,0,4,4,4,4,0,4,0,4,4,4,4,0,4,0
-94,1988,77,Montagny-la-Ville,77,,,,,,,01/01/1988,,,,,860181,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-93,1988,90,Payerne BF,90,,,,,,,01/04/1988,,,,,858977,,,,,,,,,,,,,,,,1,,,0,,-93,,,,,1,1,,1,1,1,,1,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,0,5,0,5,5,5,5,0,5,0,5,5,5,5,0,5,0
-92,1988,101,Rueyres Vuidiere,101,,,,,,,01/01/1988,,,,,858971,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-91,1988,105,Sauge,105A,,,,,,,15/04/1988,,,,,858839,,,,,,,,,,,,,,,,1,,,0,,-91,,,,,1,1,,1,1,1,,1,5,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,5,1,5,1,5,5,5,5,1,5,1,5,5,5,5,1,5,1
-90,1988,117,Vallon51,117B,,,,,,,28/04/1988,,,,858967,859926,,,,,,,,,,,,,,,,1,,,0,,-90,,,,,1,1,1,1,1,1,1,1,7,7,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,7,7,7,7,7,0,7,0,7,7,7,7,0,7,0,7,7,7,7,0,7,0
-89,1988,119,Vesin,119A,,,,,,,19/04/1988,,,,858954,859947,,,,,,,,,,,,,,,,1,,,0,,-89,,,,,1,1,1,1,1,1,1,1,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,4,1,4,1,4,4,4,4,1,4,1,4,4,4,4,1,4,1
-50,1989,4,Avenches HNE,4,,,,,,,05/04/1989,,,,,,,,,,,,,,,,,,,,,1,,,0,,-50,,,,,1,1,,,1,1,,,4,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,4,4,1,4,1,4,4,4,4,1,4,1,4,4,4,4,1,4,1
-49,1989,13,Bussy,13A,,,,,,,01/01/1989,,,,,823934,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-48,1989,16,Chatillon Lambert,16,,,,,,,01/01/1989,,,,,862744,,,,,,,,,,,,,,,,1,,,0,,,,,,,1,1,,1,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
