New_name,Library_name,Population,Position_in_cluster,Sex,Coverage,Project,Paper_Description,NCBI_number,Comments
M037555,M037555_S530,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037555_S530_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M043832,M043832_S867,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043832_S867_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M043261,M043261_S789,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043261_S789_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M043552,M043552_S805,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043552_S805_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M022757,M022757_S226,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M022757_S226_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M047506,M047506_S919,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M047506_S919_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M032312,M032312_S444,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032312_S444_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M038117,M038117_S652,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038117_S652_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M037747,M037747_S607,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037747_S607_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
889282,889282_S71,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/889282_S71_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
889527,889527_S83,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/889527_S83_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M032346,M032346_S465,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032346_S465_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M037528,M037528_S521,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037528_S521_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M031618,M031618_S381,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031618_S381_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M038118,M038118_S653,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038118_S653_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M032375,M032375_S476,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032375_S476_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M043695,M043695_S832,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043695_S832_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M037650,M037650_S547,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037650_S547_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M011931,M011931_S174,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M011931_S174_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M026796,M026796_S343,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026796_S343_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M037687,M037687_S574,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037687_S574_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M011873,M011873_S170,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M011873_S170_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M043953,M043953_S894,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043953_S894_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M032107,M032107_S405,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032107_S405_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M038404,M038404_S729,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038404_S729_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M026348,M026348_S284,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026348_S284_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M026177,M026177_S251,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026177_S251_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M026975,M026975_S365,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026975_S365_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M037752,M037752_S610,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037752_S610_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M031620,M031620_S383,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M031620_S383_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M047557,M047557_S946,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M047557_S946_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M040532,M040532_S738,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M040532_S738_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M038327,M038327_S705,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038327_S705_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M033604,M033604_S504,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M033604_S504_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M037755,M037755_S613,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037755_S613_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M028910,M028910_S371,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M028910_S371_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M026191,M026191_S254,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026191_S254_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M038401,M038401_S726,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038401_S726_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M038109,M038109_S646,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038109_S646_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M038416,M038416_S732,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M038416_S732_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M043658,M043658_S819,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043658_S819_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
889280,889280_S69,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/889280_S69_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
889432,889432_S79,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/889432_S79_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M022001,M022001_S186,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M022001_S186_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
877956,877956_S33,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/877956_S33_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M032325,M032325_S451,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032325_S451_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M043883,M043883_S884,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043883_S884_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M022159,M022159_S204,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M022159_S204_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M037699,M037699_S577,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037699_S577_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M043117,M043117_S786,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043117_S786_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M032374,M032374_S475,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032374_S475_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M043036,M043036_S778,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043036_S778_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M037630,M037630_S538,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037630_S538_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M047504,M047504_S918,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M047504_S918_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M011803,M011803_S158,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M011803_S158_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M037745,M037745_S605,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M037745_S605_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M043743,M043743_S852,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043743_S852_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M010993,M010993_S144,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M010993_S144_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M032388,M032388_S482,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032388_S482_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M047596,M047596_S959,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M047596_S959_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M043987,M043987_S909,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043987_S909_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
889555,889555_S86,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/889555_S86_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M001167,M001167_S129,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M001167_S129_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M022946,M022946_S239,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M022946_S239_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M032252,M032252_S436,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032252_S436_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M032104,M032104_S404,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M032104_S404_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
889253,889253_S65,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/889253_S65_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M005093,M005093_S134,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M005093_S134_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M026602,M026602_S313,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026602_S313_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
M043023,M043023_S775,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043023_S775_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M028790,M028790_S369,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M028790_S369_markdup.bam,3,NA,3K_OWLS,NA,NA,NA
M026016,M026016_S246,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M026016_S246_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
M043834,M043834_S869,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/M043834_S869_markdup.bam,1,NA,3K_OWLS,NA,NA,NA
877563,877563_S18,CH,/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/3000owls/1_TrimmAlign/data/3_mergedBAMs/877563_S18_markdup.bam,2,NA,3K_OWLS,NA,NA,NA
