id,dadid,momid,sex,seq
868867,NA,NA,1,1
871031,860169,865782,1,1
861530,NA,NA,1,1
862783,NA,NA,2,1
871960,865825,862783,1,1
877004,864453,865740,1,1
877125,866268,871110,1,1
877175,866268,877081,1,1
877177,866268,877081,2,1
877337,877392,877391,2,1
877475,868867,877448,2,1
877511,875626,862783,2,1
877558,877321,881104,2,1
877566,871960,878735,2,1
877811,877125,877558,1,1
877825,875626,862783,1,1
877861,875626,884736,1,1
875626,NA,NA,1,1
877321,NA,NA,1,1
877391,NA,NA,2,1
877448,NA,NA,2,1
877921,NA,NA,2,1
877922,NA,NA,1,1
877925,NA,NA,2,1
878735,NA,NA,2,1
881115,NA,NA,2,1
883063,NA,NA,2,1
889010,881671,877337,1,1
889131,877922,883554,1,1
889182,877821,877925,1,1
889183,877798,877727,2,1
889262,871388,877387,1,1
889272,861530,881115,1,1
889332,889432,877111,1,1
889378,877811,877945,1,1
889397,889280,877560,1,1
889400,889282,880843,1,1
889732,889377,889558,1,1
889746,877175,889540,1,1
889771,889182,889296,2,1
892465,NA,NA,2,1
895274,M011142,unknwn3,2,1
895818,NA,NA,2,1
896669,NA,NA,1,1
898070,889378,889183,2,1
898071,889378,889183,2,1
898074,889378,889183,2,1
898075,896669,883063,1,1
898089,889378,889183,1,1
898092,889378,889183,2,1
898156,886872,877729,1,1
898172,889574,898316,1,1
898194,898052,889979,1,1
898199,889010,877883,1,1
898335,877861,877923,2,1
898350,890820,885869,2,1
898379,877915,889388,1,1
898613,898915_1,898915,1,1
889252,NA,NA,1,1
898630,NA,NA,2,1
898887,NA,NA,2,1
899009,889010,889771,1,1
M001542,NA,NA,1,1
M001670,M005026,unknwn1,1,1
M003801,NA,NA,1,1
M004207,NA,NA,2,1
M004500,NA,NA,2,1
M005002,898313,M005170,1,1
M005013,899009,877475,1,1
M005025,899009,877475,1,1
M005026,899009,877475,1,1
M005030,898922,M005004,1,1
M005170,889746,898887,2,1
M005188,889272,895818,1,1
M005219,898172,898350,2,1
M005220,898172,898350,2,1
M005221,NA,NA,1,1
M005222,898172,898350,1,1
M005238,M005236,M005235,2,1
M005415,M005428,M005482,2,1
M005447,unknwn2,M005170,1,1
M005448,M005188,M005170,1,1
M005452,877825,892465,2,1
M005472,899009,877475,2,1
M005473,899009,877475,1,1
M005673,M001542,898630,2,1
M006413,NA,NA,1,1
M010956,M022758,896382,1,1
M010969,M022563,M011803,2,1
M011005,unknwn2,M005170,1,1
M011008,M005188,M005170,1,1
