rawVCFname,pop,NEWname,sex
862783H,CH,862783,2
877321H,CH,877321,1
877921H,CH,877921,2
877925H,CH,877925,2
878735H,CH,878735,2
881115H,CH,881115,2
889183B12,CH,889183,2
892465E2,CH,892465,2
898350F9,CH,898350,2
898887G3,CH,898887,2
CH01,CH,898335,2
CH12,CH,M011743,2
CH14,CH,M011769,2
M005238D10,CH,M005238,2
M005469C3,CH,M005469,2
M010969G4,CH,M010969,2
M011816F9,CH,M011816,1
M012772H10,CH,M012772,2
M014481H,CH,M014481,2
M014948H,CH,M014948,2
M017312G7,CH,M017312,2
M022154F10,CH,M022154,2
M022155A1,CH,M022155,2
M022186D1,CH,M022186,1
M022647G8,CH,M022647,2
M022674H,CH,M022674,2
M022680H,CH,M022680,2
M026260H,CH,M026260,2
M027889H,CH,M027889,2
M027970G3,CH,M027970,2
M028838H,CH,M028838,2
M031538D2,CH,M031538,2
M031555E5,CH,M031555,2
M031768,CH,M031768,2
M032124H,CH,M032124,2
M032219H,CH,M032219,2
M032230H,CH,M032230,2
M032347E2,CH,M032347,2
M032352D6,CH,M032352,2
M032478A5,CH,M032478,2
M033603H,CH,M033603,1
M037594,CH,M037594,2
