rawVCFname,pop,NEWname,sex
861530H,CH,861530,1
868867B1,CH,868867,1
871031H,CH,871031,1
871960H,CH,871960,1
877004H,CH,877004,1
877177H,CH,877177,2
877321H,CH,877321,1
877391H,CH,877391,2
877921H,CH,877921,2
877925H,CH,877925,2
878735H,CH,878735,2
881115H,CH,881115,2
883063H11,CH,883063,2
889131H,CH,889131,1
889183B12,CH,889183,2
892465E2,CH,892465,2
896669A12,CH,896669,1
898172G9,CH,898172,1
898350F9,CH,898350,2
898887G3,CH,898887,2
CH03,CH,898379,1
CH04,CH,898194,1
CH09,CH,M005030,1
CH12,CH,M011743,2
CH13,CH,M011852,1
CH17,CH,M011830,1
CH18,CH,889332,1
CH22,CH,889262,1
CH23,CH,898156,1
CH24,CH,M011995,1
CH25,CH,M011867,1
CH26,CH,M022662,1
M004207A1,CH,M004207,2
M004500E9,CH,M004500,2
M005221B10,CH,M005221,1
M005238D10,CH,M005238,2
M005415E2,CH,M005415,2
M005469C3,CH,M005469,2
M006413D9,CH,M006413,1
M010969G4,CH,M010969,2
M011019H2,CH,M011019,1
M011060D3,CH,M011060,1
M011816F9,CH,M011816,1
M012772H10,CH,M012772,2
M014481H,CH,M014481,2
M014948H,CH,M014948,2
M022154F10,CH,M022154,2
M022186D1,CH,M022186,1
M022581H,CH,M022581,1
M022674H,CH,M022674,2
M022680H,CH,M022680,2
M026251A11,CH,M026251,1
M026260H,CH,M026260,2
M026583E3,CH,M026583,2
M027889H,CH,M027889,2
M028838H,CH,M028838,2
M031532,CH,M031532,1
M031538D2,CH,M031538,2
M031555E5,CH,M031555,2
M031800F5,CH,M031800,1
M032124H,CH,M032124,2
M032219H,CH,M032219,2
M032220H,CH,M032220,1
M032230H,CH,M032230,2
M032251H3,CH,M032251,1
M032314,CH,M032314,2
M032347E2,CH,M032347,2
M032352D6,CH,M032352,2
M032441G4,CH,M032441,1
M032478A5,CH,M032478,2
M033603H,CH,M033603,1
M034517F2,CH,M034517,1
M037594,CH,M037594,2
M038472,CH,M038472,1
M043619,CH,M043619,1
M043766,CH,M043766,2
